id_parciaiscore,id_secagenscore,subprojecto,material,potencia,tensao,massat,massai,cliente,tipotransf
133,41,E1110739A ,5,140,240.5,61206,2519,"Efacec Power Transformers, Inc.                   ",NULL
156,30,E1110600A ,5,200,230,91840,3802,VENEZUELA                                         ,NULL
135,40,E1110586A ,5,36,115,16000,766,Cliente 586A                                      ,                              
136,40,E1110709A ,1,1,1,1,232,Cliente 709A                                      ,                              
137,40,E1110709A ,2,1,1,1,1,Cliente 709A                                      ,                              
138,40,E1110709A ,3,1,1,1,1,Cliente 709A                                      ,                              
157,30,E1110705A ,5,25,60,22500,1098,ENDESA                                            ,NULL
159,0,E1110697A ,5,30,230,32900,1887,REE                                               ,NULL
160,0,E1110736A ,5,75,132,57563,2565,EMIRADOS ARABES UNIDOS                            ,NULL
161,60,E1110697A ,5,30,230,32900,1887,REE                                               ,NULL
164,61,E1110698A ,5,30,230,32900,1887,REE                                               ,NULL
165,61,E1110699A ,5,30,230,32900,1887,REE                                               ,NULL
190,81,V11100042 ,4,20,60,6750,1700,SONELGAZ                                          ,NULL
195,83,E1110635A ,5,70,232,49308,1722,IBERDROLA                                         ,NULL
185,79,E1110601A ,5,200,230,91840,3802,Venezuela                                         ,NULL
186,79,E1110721A ,5,50,225,45362,2102,Iberdrola                                         ,NULL
150,51,E1110719A ,5,35,115.5,15332,986,SM GPC                                            ,NULL
166,62,E1110683A ,5,120,275,74000,3879,ESCOCIA                                           ,NULL
191,57,E1110602A ,5,200,230,91840,3802,VENEZUELA                                         ,NULL
196,83,E1110677A ,5,240,275,99281,4919,SSE ESCÓCIA                                       ,NULL
197,84,E1110758A ,5,112,115,59170,2556,PORTO RICO                                        ,NULL
198,85,E1110759A ,5,44.8,115,28951,1421,PORTO RICO                                        ,NULL
199,85,E1110738A ,5,50,138,20901,1213,SM BRAZOS                                         ,NULL
200,86,E1110781A ,5,31,60,31514,1336,EDP                                               ,NULL
201,86,E1110783A ,5,31,60,31514,1336,EDP                                               ,NULL
202,86,E1110744A ,5,40,110,27150,1558,COLOMBIA                                          ,NULL
203,87,E1110784A ,5,31.5,60,31514,1236,EDP                                               ,NULL
204,87,E1110785A ,5,31.5,60,31514,1236,EDP                                               ,NULL
206,89,E1110732A ,5,100,232,77135,3136,IBERDROLA                                         ,NULL
207,89,E1110786A ,5,31.6,60,31514,1236,EDP                                               ,NULL
208,90,E1110602A ,5,200,230,91840,3802,VENEZUELA                                         ,NULL
